symbol_id	symbol_name	symbol_char	symbol_icon	reading	subfield	description	example	in_latex	in_html
88	 alpha	"&alpha;"	alpha.jpg	alfa	Huruf Yunani	Huruf Yunani alpha (huruf kecil)	"&alpha;"	\alpha	"&alpha;"
88	 alpha	"&alpha;"	alpha.jpg	alfa	Geometri	Variabel untuk sudut	"&alpha; = 45&deg;"	\alpha	"&alpha;"
2	 ast	*	ast.jpg	Bintang	Matematika Dasar	Perkalian	2 * 3 = 6	\ast	*
120	 backslash	\	backslash.jpg	Garis Miring Terbalik	Himpunan	"Komplemen relatif yaitu objek-objek yang termasuk dalam A dan tidak termasuk dalam B. A \ B = {x | x &isin; A dan x &notin; B}."	"A = {1, 2, 3, 4, 5}; B = {3, 4, 5, 6}; A \ B ={1, 2}"	\backslash	\
89	 beta	"&beta;"	beta.jpg	beta	Huruf Yunani	Huruf Yunani beta (huruf kecil)	"&beta;"	\beta	"&beta;"
89	 beta	"&beta;"	beta.jpg	beta	Geometri	Variabel untuk sudut	"&beta; = 60&deg;"	\beta	"&beta;"
84	 BigLeftPar	[	BigLeftPar.jpg	Kurung Siku Kiri	Matematika Dasar	Perhitungan di dalam kurung dilakukan terlebih dahulu	"[(1+2) &times;(1+5)] = 18"	[ atau \lbrack	[
84	 BigLeftPar	[	BigLeftPar.jpg	Kurung Siku Kiri	Aljabar Linier	Pembatas matriks bilangan	"[ 1 2 ; 5 7 ]"	[ atau \lbrack	[
85	 BigRightPar	]	BigRightPar.jpg	Kurung Siku Kanan	Matematika Dasar	Perhitungan di dalam kurung dilakukan terlebih dahulu	"[(1+2) &times;(1+5)] = 18"	] atau \rbrack	]
85	 BigRightPar	]	BigRightPar.jpg	Kurung Siku Kanan	Aljabar Linier	Pembatas matriks bilangan	"[ 1 2 ; 5 7 ]"	] atau \rbrack	]
57	 cap	"&cap;"	cap.jpg	Irisan	Himpunan	Irisan, objek yang termasuk dalam himpunan A dan himpunan B	"A &cap; B = {9,14}"	\cap	"&cap;"
57	 cap	"&cap;"	cap.jpg	Irisan	Probabilitas Dan Statistik	Probabilitas dari irisan dua atau lebih peristiwa	"P(A&cap;B) = 0.5"	\cap	"&cap;"
49	 cdot	?	cdot.jpg	Titik Tengah	Matematika Dasar	Perkalian	2 ? 3 = 6	\cdot	?
145	 chi	"&chi;"	chi.jpg	chi	Huruf Yunani	Huruf Yunani chi (huruf kecil)	"&chi;"	\chi	"&chi;"
145	 chi	"&chi;"	chi.jpg	chi	Probabilitas Dan Statistik	Chi-square distribution	"&chi; 2(k), f (x) = xk/2-1e-x/2 / ( 2k/2 &gamma;(k/2) )"	\chi	"&chi;"
81	 circ	"&SmallCircle;"	circ.jpg	Fungsi komposisi	Aljabar	Fungsi komposisi	"(f &SmallCircle; g) (x) = f (g(x)), f (x)=3x,g(x)=x-1  &rarr;(f &SmallCircle; g)(x)=3(x-1)"	\circ	"&SmallCircle;"
81	 circ	"&SmallCircle;"	circ.jpg	Derajat	Geometri	"1 putaran = 360&deg;"	"&alpha; = 60&deg;"	\circ	"&SmallCircle;"
76	 colon	:	colon.jpg	Titik Dua	Matematika Dasar	Pembagian	6 / 2 = 3	:	:
32	 comma	,	comma.jpg	Koma	Matematika Dasar	Pemisah element dalam daftar, himpunan, urutan, dll	(1, 2, 3), {a, b, c}	,	,
32	 comma	,	comma.jpg	Koma	Matematika Dasar	Pemisah bilangan bulat dengan desimal	3,14159..	,	,
147	 cong	"&TildeFullEqual;"	cong.jpg	Kongruen	Geometri	Kesetaraan bentuk dan ukuran geometri, berarti bahwa dua kategori sama, hingga isomorfisme.	"&Delta;ABC &TildeFullEqual; &Delta;XYZ"	\cong	"&TildeFullEqual;"
60	 cup	"&cup;"	cup.jpg	Gabungan	Himpunan	Gabungan, objek yang termasuk dalam himpunan A atau himpunan B	"A &cup; B = {3,7,9,14,28}"	\cup	"&cup;"
60	 cup	"&cup;"	cup.jpg	Gabungan	Probabilitas Dan Statistik	Probabilitas dari gabungan dua atau lebih peristiwa	"P(A &cup;B) = 0.5"	\cup	"&cup;"
124	 delta	"&delta;"	delta.jpg	delta	Huruf Yunani	Huruf Yunani delta (huruf kecil)	"&delta;"	\delta	"&delta;"
125	 Delta	"&Delta;"	DeltaU.jpg	Delta (kapital)	Huruf Yunani	Huruf Yunani Delta (huruf Kapital)	"&Delta;"	\Delta	"&Delta;"
125	 Delta	"&Delta;"	DeltaU.jpg	Delta (kapital)	Aljabar	Diskriminan	"&Delta; = b2 - 4ac"	\Delta	"&Delta;"
125	 Delta	"&Delta;"	DeltaU.jpg	Delta (kapital)	Aljabar	Perubahan atau selisih	"&Delta;t = t1 - t0"	\Delta	"&Delta;"
125	 Delta	"&Delta;"	DeltaU.jpg	Delta (kapital)	Geometri	Bentuk segitiga	"&Delta;ABC&TildeFullEqual; &Delta;BCD"	\Delta	"&Delta;"
143	 dot	.	dot.jpg	Titik	Matematika Dasar	Simbol yang digunakan untuk memisahkan bagian bulat dan bagian desimal dalam representasi angka desimal. 	2.56 = 2+56/100	.	.
104	 epsilon	"&epsilon;"	epsilon.jpg	epsilon	Huruf Yunani	Huruf Yunani epsilon (huruf kecil)	"&epsilon;"	\epsilon	"&epsilon;"
104	 epsilon	"&epsilon;"	epsilon.jpg	epsilon	Kalkulus	Merepresentasikan angka yang sangat kecil, mendekati 0	"&epsilon; &rarr; 0"	\epsilon	"&epsilon;"
25	 equal	=	equal.jpg	Sama dengan	Matematika Dasar	Melambangkan kesetaraan atau kesamaan nilai	5 = 2+3	=	=
